#YY,MM,DD,hh,mm,WDIR,WSPD,GDR,GST,GTIME
2011,12,31,23,0,167,7.9,999,99,9999
2011,12,31,23,10,168,7.9,999,99,9999
2011,12,31,23,20,164,7.4,999,99,9999
2011,12,31,23,30,168,7.6,999,99,9999
2011,12,31,23,40,166,7.7,999,99,9999
2011,12,31,23,50,166,7.9,157,10.1,2259
2012,1,1,0,0,166,7.8,999,99,9999
2012,1,1,0,10,162,8.1,999,99,9999
2012,1,1,0,20,160,7.9,999,99,9999
2012,1,1,0,30,161,8.1,999,99,9999
2012,1,1,0,40,163,8.3,999,99,9999
2012,1,1,0,50,167,8.8,167,10.8,41
2012,1,1,1,0,166,8.4,999,99,9999
2012,1,1,1,10,166,8.4,999,99,9999
2012,1,1,1,20,164,8.5,999,99,9999
2012,1,1,1,30,164,8.4,999,99,9999
2012,1,1,1,40,164,8.7,999,99,9999
2012,1,1,1,50,167,8.8,171,10.6,147
2012,1,1,2,0,170,8.3,999,99,9999
2012,1,1,2,10,170,8.5,999,99,9999
2012,1,1,2,20,166,8.3,999,99,9999
2012,1,1,2,30,167,7.6,999,99,9999
2012,1,1,2,40,171,8.2,999,99,9999
2012,1,1,2,50,179,8.2,177,10.5,237
2012,1,1,3,0,178,8.4,999,99,9999
2012,1,1,3,10,174,7.9,999,99,9999
2012,1,1,3,20,176,8.3,999,99,9999
2012,1,1,3,30,173,7.8,999,99,9999
2012,1,1,3,40,171,7.7,999,99,9999
2012,1,1,3,50,173,7.9,179,10.5,312
2012,1,1,4,0,172,8.4,999,99,9999
2012,1,1,4,10,174,8.7,999,99,9999
2012,1,1,4,20,174,8.7,999,99,9999
2012,1,1,4,30,169,8,999,99,9999
2012,1,1,4,40,169,7.2,999,99,9999
2012,1,1,4,50,176,8.1,170,10.9,353
2012,1,1,5,0,167,7.8,999,99,9999
2012,1,1,5,10,161,7.3,999,99,9999
2012,1,1,5,20,161,7.9,999,99,9999
2012,1,1,5,30,161,8.4,999,99,9999
2012,1,1,5,40,166,7.8,999,99,9999
2012,1,1,5,50,165,8.6,181,10.9,450
2012,1,1,6,0,165,8.3,999,99,9999
2012,1,1,6,10,163,8.3,999,99,9999
2012,1,1,6,20,162,8.5,999,99,9999
2012,1,1,6,30,161,8.4,999,99,9999
2012,1,1,6,40,164,8.3,999,99,9999
2012,1,1,6,50,165,8.4,163,10.9,616
2012,1,1,7,0,165,8,999,99,9999
2012,1,1,7,10,163,9,999,99,9999
2012,1,1,7,20,162,9.1,999,99,9999
2012,1,1,7,30,161,8.9,999,99,9999
2012,1,1,7,40,160,8.7,999,99,9999
2012,1,1,7,50,162,8.2,167,10.9,709
2012,1,1,8,0,160,8.4,999,99,9999
2012,1,1,8,10,159,8.9,999,99,9999
2012,1,1,8,20,160,8.5,999,99,9999
2012,1,1,8,30,164,8.4,999,99,9999
2012,1,1,8,40,164,8.7,999,99,9999
2012,1,1,8,50,166,9.2,161,10.9,846
2012,1,1,9,0,169,9.3,999,99,9999
2012,1,1,9,10,166,9.2,999,99,9999
2012,1,1,9,20,167,9.1,999,99,9999
2012,1,1,9,30,164,9.3,999,99,9999
2012,1,1,9,40,163,9.9,999,99,9999
2012,1,1,9,50,162,9.6,159,12,940
2012,1,1,10,0,155,9.5,999,99,9999
2012,1,1,10,10,152,10.1,999,99,9999
2012,1,1,10,20,156,10,999,99,9999
2012,1,1,10,30,152,10.3,999,99,9999
2012,1,1,10,40,150,10.8,999,99,9999
2012,1,1,10,50,152,10.5,147,12.8,1039
2012,1,1,11,0,153,10.2,999,99,9999
2012,1,1,11,10,155,10.2,999,99,9999
2012,1,1,11,20,152,10.2,999,99,9999
2012,1,1,11,30,152,10.5,999,99,9999
2012,1,1,11,40,153,10.3,999,99,9999
2012,1,1,11,50,154,10.8,161,13.2,1052
2012,1,1,12,0,157,11.5,999,99,9999
2012,1,1,12,10,158,10.5,999,99,9999
2012,1,1,12,20,159,10.8,999,99,9999
2012,1,1,12,30,155,10.8,999,99,9999
2012,1,1,12,40,155,10.3,999,99,9999
2012,1,1,12,50,159,10.7,160,13.7,1157
2012,1,1,13,0,160,10.5,999,99,9999
2012,1,1,13,10,163,10.2,999,99,9999
2012,1,1,13,20,165,10.6,999,99,9999
2012,1,1,13,30,162,9.3,999,99,9999
2012,1,1,13,40,159,9.9,999,99,9999
2012,1,1,13,50,157,10,163,13.2,1314
2012,1,1,14,0,156,9.8,999,99,9999
2012,1,1,14,10,156,9.9,999,99,9999
2012,1,1,14,20,161,9.3,999,99,9999
2012,1,1,14,30,167,9.4,999,99,9999
2012,1,1,14,40,157,9,999,99,9999
2012,1,1,14,50,154,9.7,164,12.1,1415
2012,1,1,15,0,157,9.7,999,99,9999
2012,1,1,15,10,156,9.5,999,99,9999
2012,1,1,15,20,154,9.5,999,99,9999
2012,1,1,15,30,148,9.5,999,99,9999
2012,1,1,15,40,151,9.4,999,99,9999
2012,1,1,15,50,150,10.5,145,12.5,1547
2012,1,1,16,0,148,10.2,999,99,9999
2012,1,1,16,10,147,10.3,999,99,9999
2012,1,1,16,20,146,10.4,999,99,9999
2012,1,1,16,30,146,10.9,999,99,9999
2012,1,1,16,40,146,10.9,999,99,9999
2012,1,1,16,50,149,10.6,140,14.1,1614
2012,1,1,17,0,149,10.7,999,99,9999
2012,1,1,17,10,151,11.1,999,99,9999
2012,1,1,17,20,153,10.9,999,99,9999
